"","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV2542","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Ruminococcaceae_UCG-013",NA
"ASV2575","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Sphingobium",NA
"ASV2576","Bacteria","Proteobacteria","Alphaproteobacteria","Reyranellales","Reyranellaceae","Reyranella",NA
"ASV2582","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Oscillochloris",NA
"ASV2592","Bacteria","Cyanobacteria","Oxyphotobacteria","Pseudanabaenales","Pseudanabaenaceae","Pseudanabaena_PCC-7429",NA
"ASV2618","Bacteria","Firmicutes","Bacilli","Bacillales","Planococcaceae","Lysinibacillus",NA
"ASV2627","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Acidovorax",NA
"ASV2628","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Proteiniphilum",NA
"ASV2631","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Pajaroellobacter",NA
"ASV2632","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Rikenellaceae","Blvii28_wastewater-sludge_group",NA
"ASV2650","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Blastomonas",NA
"ASV2669","Bacteria","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Polymorphobacter",NA
"ASV2705","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Candidatus_Chlorothrix",NA
"ASV2710","Bacteria","Proteobacteria","Gammaproteobacteria","Competibacterales","Competibacteraceae","Candidatus_Contendobacter",NA
"ASV2719","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Thorsellia",NA
"ASV2739","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Aureispira",NA
"ASV2806","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Magnetospirillaceae","Telmatospirillum",NA
"ASV2827","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Rhizobiaceae","Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium",NA
"ASV2829","Bacteria","Proteobacteria","Alphaproteobacteria","Dongiales","Dongiaceae","Dongia",NA
"ASV2834","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae","Geobacillus",NA
"ASV2836","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Serratia",NA
"ASV2853","Bacteria","Proteobacteria","Gammaproteobacteria","Salinisphaerales","Solimonadaceae","Nevskia",NA
"ASV2871","Bacteria","Proteobacteria","Deltaproteobacteria","Oligoflexales","Oligoflexaceae","Candidatus_Turbabacter",NA
"ASV2874","Bacteria","Cyanobacteria","Oxyphotobacteria","Oxyphotobacteria_Incertae_Sedis","Unknown_Family","Leptolyngbya_ANT.L67.1",NA
"ASV2884","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Saprospiraceae","Phaeodactylibacter",NA
"ASV2892","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Hydrogenophaga",NA
"ASV2913","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Erwinia",NA
"ASV2921","Bacteria","Firmicutes","Clostridia","Clostridiales","Gracilibacteraceae","Lutispora",NA
"ASV2924","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Pseudobacteroides",NA
"ASV2928","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophobacteraceae","Syntrophobacter",NA
"ASV2936","Bacteria","Actinobacteria","Acidimicrobiia","Microtrichales","Iamiaceae","Iamia",NA
"ASV2940","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Intestinimonas",NA
"ASV2947","Bacteria","Bacteroidetes","Bacteroidia","Chitinophagales","Chitinophagaceae","UTBCD1",NA
"ASV2958","Bacteria","Firmicutes","Clostridia","Clostridiales","Ruminococcaceae","Anaerobacterium",NA
"ASV2960","Bacteria","Actinobacteria","Actinobacteria","Corynebacteriales","Corynebacteriaceae","Lawsonella",NA
"ASV2961","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Insolitispirillum",NA
"ASV2962","Bacteria","Proteobacteria","Gammaproteobacteria","Oceanospirillales","Halomonadaceae","Modicisalibacter",NA
"ASV2964","Bacteria","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiales_Incertae_Sedis","Candidatus_Hepatincola",NA
"ASV2969","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto_12",NA
"ASV2972","Bacteria","Bacteroidetes","Bacteroidia","Cytophagales","Amoebophilaceae","Candidatus_Amoebophilus",NA
"ASV2982","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Hyphomicrobium",NA
"ASV2991","Bacteria","Planctomycetes","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","SM1A02",NA
"ASV2994","Bacteria","Proteobacteria","Gammaproteobacteria","Coxiellales","Coxiellaceae","Coxiella",NA
"ASV3007","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Dysgonomonadaceae","Dysgonomonas",NA
"ASV3011","Bacteria","Proteobacteria","Gammaproteobacteria","Methylococcales","Methylomonaceae","Methyloglobulus",NA
"ASV3018","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Chromobacteriaceae","Paludibacterium",NA
"ASV3045","Bacteria","Bacteroidetes","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella_1",NA
"ASV3051","Bacteria","Actinobacteria","Actinobacteria","Frankiales","Frankiaceae","Jatrophihabitans",NA
"ASV3059","Bacteria","Proteobacteria","Gammaproteobacteria","Competibacterales","Competibacteraceae","Candidatus_Competibacter",NA
"ASV3074","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Loktanella",NA
"ASV3085","Bacteria","Actinobacteria","Actinobacteria","Propionibacteriales","Nocardioidaceae","Nocardioides",NA
"ASV3109","Bacteria","Proteobacteria","Gammaproteobacteria","Alteromonadales","Alteromonadales_Incertae_Sedis","Alkalimonas",NA
"ASV3138","Bacteria","Acidobacteria","Blastocatellia_(Subgroup_4)","Blastocatellales","Blastocatellaceae","Aridibacter",NA
"ASV3163","Bacteria","Tenericutes","Mollicutes","Entomoplasmatales","Spiroplasmataceae","Spiroplasma",NA
"ASV3170","Bacteria","Fusobacteria","Fusobacteriia","Fusobacteriales","Leptotrichiaceae","Sebaldella",NA
"ASV3182","Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacteriales","Enterobacteriaceae","Cosenzaea",NA
"ASV3218","Bacteria","Bacteroidetes","Ignavibacteria","Ignavibacteriales","Ignavibacteriaceae","Ignavibacterium",NA
"ASV3234","Bacteria","Firmicutes","Negativicutes","Selenomonadales","Veillonellaceae","Veillonella",NA
"ASV3235","Bacteria","Actinobacteria","Actinobacteria","Micrococcales","Micrococcaceae","Kocuria",NA
"ASV3252","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Calothrix_PCC-6303",NA
"ASV3261","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Nostocaceae","Fortiea_PCC-7126",NA
"ASV3267","Bacteria","Proteobacteria","Alphaproteobacteria","Paracaedibacterales","Paracaedibacteraceae","Candidatus_Paracaedibacter",NA
"ASV3282","Bacteria","Proteobacteria","Deltaproteobacteria","Syntrophobacterales","Syntrophaceae","Smithella",NA
"ASV3285","Bacteria","Proteobacteria","Gammaproteobacteria","Cellvibrionales","Halieaceae","Chromatocurvus",NA
"ASV3289","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Piscinibacter",NA
"ASV3293","Bacteria","Cyanobacteria","Oxyphotobacteria","Nostocales","Microcystaceae","Snowella_0TU37S04",NA
"ASV3299","Bacteria","Chloroflexi","Chloroflexia","Chloroflexales","Chloroflexaceae","Chloronema",NA
"ASV3312","Bacteria","Proteobacteria","Gammaproteobacteria","Gammaproteobacteria_Incertae_Sedis","Unknown_Family","Candidatus_Berkiella",NA
"ASV3343","Bacteria","Acidobacteria","Acidobacteriia","Solibacterales","Solibacteraceae_(Subgroup_3)","Candidatus_Solibacter",NA
"ASV3363","Bacteria","Bacteroidetes","Bacteroidia","Sphingobacteriales","Sphingobacteriaceae","Mucilaginibacter",NA
"ASV3370","Bacteria","Firmicutes","Bacilli","Bacillales","Staphylococcaceae","Staphylococcus",NA
"ASV3398","Bacteria","Rokubacteria","NC10","Methylomirabilales","Methylomirabilaceae","Sh765B-TzT-35",NA
"ASV3414","Bacteria","Proteobacteria","Gammaproteobacteria","Betaproteobacteriales","Burkholderiaceae","Tepidicella",NA
"ASV3415","Bacteria","Firmicutes","Bacilli","Bacillales","Paenibacillaceae","Paenibacillus",NA
