,H2O-041-513-718-1F_filt.fastq.gz,H2O-042-515-718-1F_filt.fastq.gz,H2O-043-516-718-1F_filt.fastq.gz,H2O-044-517-718-1F_filt.fastq.gz,H2O-045-518-719-1F_filt.fastq.gz,H2O-046-520-719-1F_filt.fastq.gz,H2O-047-521-719-1F_filt.fastq.gz,H2O-048-522-719-1F_filt.fastq.gz,H2O-049-502-719-1F_filt.fastq.gz,H2O-050-503-719-1F_filt.fastq.gz,H2O-051-505-719-1F_filt.fastq.gz,H2O-052-506-719-1F_filt.fastq.gz,H2O-053-507-719-1F_filt.fastq.gz,H2O-054-508-719-1F_filt.fastq.gz,H2O-055-510-719-1F_filt.fastq.gz,H2O-056-511-720-1F_filt.fastq.gz,H2O-057-513-720-1F_filt.fastq.gz,H2O-058-515-720-1F_filt.fastq.gz,H2O-059-516-720-1F_filt.fastq.gz,H2O-060-517-720-1F_filt.fastq.gz,H2O-061-521-720-1F_filt.fastq.gz,H2O-062-520-720-1F_filt.fastq.gz,NP-001-502-714-1F_filt.fastq.gz,NP-002-503-714-1F_filt.fastq.gz,NP-003-505-714-1F_filt.fastq.gz,NP-004-506-714-1F_filt.fastq.gz,NP-007-510-714-1F_filt.fastq.gz,NP-008-511-714-1F_filt.fastq.gz,NP-009-513-714-1F_filt.fastq.gz,NP-010-515-714-1F_filt.fastq.gz,NP-011-516-715-1F_filt.fastq.gz,NP-014-520-715-1F_filt.fastq.gz,NP-015-521-715-1F_filt.fastq.gz,NP-017-502-715-1F_filt.fastq.gz,NP-018-503-715-1F_filt.fastq.gz,NP-019-505-715-1F_filt.fastq.gz,NP-022-508-715-1F_filt.fastq.gz,NP-025-513-716-1F_filt.fastq.gz,NP-026-515-716-1F_filt.fastq.gz,NP-027-516-716-1F_filt.fastq.gz,NP-028-517-716-1F_filt.fastq.gz,NP-029-518-716-1F_filt.fastq.gz,NP-034-503-718-1F_filt.fastq.gz,NP-035-505-718-1F_filt.fastq.gz,NP-036-506-718-1F_filt.fastq.gz,NP-037-507-718-1F_filt.fastq.gz
H2O-061-521-720-1F_filt.fastq.gz,0.161274314,0.230371997,0.212999318,0.256690218,0.299913504,0.152239913,0.178237764,0.149706601,0.192475693,0.173740604,0.32839518,0.189407485,0.178865132,0.180347307,0.187921712,0.09643107,0.128661018,0.077754743,0.174744297,0.06931197,0,0.038436982,0.777540032,0.823700038,0.667797336,0.706534759,0.857073009,0.638945034,0.813551155,0.688673721,0.707455148,0.786325024,0.784856548,0.769731855,0.787088826,0.930390034,0.730727675,0.720683308,0.79863786,0.812943621,0.818196962,0.702466253,0.788910786,0.678316838,0.796098796,0.785153779
H2O-062-520-720-1F_filt.fastq.gz,0.165502846,0.247542538,0.224087225,0.253694149,0.30653643,0.165900902,0.188086696,0.174877439,0.216436858,0.189605741,0.344023199,0.206292221,0.195164726,0.206399923,0.216425175,0.116536352,0.149378518,0.088359955,0.194775854,0.082521789,0.038436982,0,0.779746864,0.82204748,0.665129419,0.70580245,0.851893346,0.637520671,0.80657314,0.680227258,0.700308238,0.786781642,0.77828996,0.759705207,0.778589098,0.931851419,0.732813435,0.712457026,0.792327367,0.803923485,0.815910335,0.706439367,0.781981366,0.668011427,0.792470127,0.78556549
NP-001-502-714-1F_filt.fastq.gz,0.780698957,0.795854888,0.80957915,0.846271178,0.858143833,0.758185342,0.752858774,0.77758162,0.77823547,0.794352939,0.842596322,0.780528016,0.774359948,0.750925386,0.762625657,0.781176844,0.798274401,0.795402269,0.811669961,0.778923409,0.777540032,0.779746864,0,0.836750377,0.693977682,0.80726637,0.917956795,0.555636402,0.822100957,0.508480243,0.543861704,0.596044068,0.734343629,0.774255536,0.945004721,0.975888404,0.358474783,0.578468581,0.773307413,0.873817101,0.754585417,0.31355081,0.728467603,0.581037773,0.82816819,0.119399003
NP-002-503-714-1F_filt.fastq.gz,0.806438412,0.813033106,0.824172813,0.793651989,0.788956784,0.834553027,0.833412536,0.824703476,0.83751109,0.809573247,0.827942228,0.814119889,0.809583278,0.851730112,0.849288613,0.81530137,0.80998484,0.814983035,0.817295263,0.817731672,0.823700038,0.82204748,0.836750377,0,0.715757019,0.775379101,0.699303079,0.760220925,0.757550872,0.783851855,0.79392213,0.812036466,0.771259774,0.752582288,0.837177845,0.88585366,0.811255909,0.780168409,0.769216115,0.786753257,0.68597878,0.786095016,0.783398095,0.757723016,0.72871099,0.899090958
NP-003-505-714-1F_filt.fastq.gz,0.644570685,0.602473683,0.622044096,0.655101564,0.665422234,0.662028303,0.66090464,0.625828827,0.645273578,0.622887354,0.644411917,0.626577825,0.618876836,0.701791703,0.681014123,0.644074461,0.633362513,0.64408992,0.623849181,0.652863897,0.667797336,0.665129419,0.693977682,0.715757019,0,0.282244656,0.786202201,0.32079164,0.65946373,0.538312558,0.571059496,0.680235882,0.663110884,0.615500378,0.764497886,0.898940116,0.636918528,0.580332618,0.645671012,0.708905639,0.403929545,0.463785983,0.638258873,0.41609647,0.536318967,0.798082672
NP-004-506-714-1F_filt.fastq.gz,0.677522701,0.642890293,0.65334843,0.649888801,0.667669308,0.690138976,0.687138119,0.652313231,0.663986533,0.659857463,0.656228962,0.668914843,0.66258072,0.733467602,0.712351775,0.669940621,0.647554611,0.676416883,0.650721468,0.695638843,0.706534759,0.70580245,0.80726637,0.775379101,0.282244656,0,0.788309986,0.51282527,0.729148916,0.654890045,0.65652347,0.738260529,0.685634698,0.672825311,0.75994005,0.834017982,0.652388351,0.672242653,0.69993374,0.730726305,0.490254597,0.567729727,0.688081221,0.593273686,0.579227751,0.868895267
NP-007-510-714-1F_filt.fastq.gz,0.843525985,0.8344509,0.852538908,0.821449398,0.814229837,0.868449036,0.866401764,0.860787726,0.871531203,0.836876815,0.861862825,0.848391257,0.843132388,0.882025448,0.880731833,0.857247421,0.851550253,0.848317096,0.847293648,0.850175612,0.857073009,0.851893346,0.917956795,0.699303079,0.786202201,0.788309986,0,0.816873934,0.840521753,0.851390642,0.868780157,0.897156476,0.845771233,0.835522713,0.847839709,0.897451484,0.851741415,0.858390197,0.847052809,0.818914736,0.764280386,0.854558188,0.857650921,0.810212226,0.763655771,0.966710762
NP-008-511-714-1F_filt.fastq.gz,0.641809106,0.641116965,0.648993242,0.688546737,0.695655968,0.63005313,0.627707348,0.629455053,0.633919495,0.643280171,0.689223766,0.633211389,0.631281685,0.660730598,0.651884621,0.635778932,0.641788226,0.645678589,0.64459403,0.629792834,0.638945034,0.637520671,0.555636402,0.760220925,0.32079164,0.51282527,0.816873934,0,0.706274561,0.382903289,0.431333319,0.540890143,0.606041531,0.610066247,0.784396532,0.935247731,0.425293386,0.426351329,0.646236172,0.746163826,0.571713496,0.39212716,0.589890625,0.268991828,0.627011028,0.642386233
NP-009-513-714-1F_filt.fastq.gz,0.808744932,0.758753118,0.764837593,0.749499299,0.768577602,0.8198245,0.819474736,0.784452232,0.802085353,0.788699987,0.784342498,0.805194966,0.797620559,0.862891092,0.846715444,0.810080522,0.798864278,0.790607705,0.778984296,0.808668539,0.813551155,0.80657314,0.822100957,0.757550872,0.65946373,0.729148916,0.840521753,0.706274561,0,0.450939477,0.442952624,0.734950491,0.482162165,0.129152814,0.131316488,0.865685746,0.803963859,0.351215953,0.076442743,0.587751954,0.507247484,0.772414854,0.20979572,0.486196616,0.699218903,0.904156486
NP-010-515-714-1F_filt.fastq.gz,0.684287622,0.669400907,0.666505861,0.697425221,0.721916209,0.698433571,0.696286641,0.661582587,0.681404707,0.685354711,0.711358865,0.682408937,0.674916887,0.739300449,0.725170477,0.68514596,0.686804264,0.676496897,0.683731082,0.683818915,0.688673721,0.680227258,0.508480243,0.783851855,0.538312558,0.654890045,0.851390642,0.382903289,0.450939477,0,0.106024704,0.45708184,0.457688983,0.393037767,0.54897091,0.923611945,0.358863427,0.113676986,0.398758321,0.652573923,0.618941809,0.441259675,0.346822589,0.155054599,0.725477885,0.60744415
