,H2O-041-513-718-1F_filt.fastq.gz,H2O-042-515-718-1F_filt.fastq.gz,H2O-043-516-718-1F_filt.fastq.gz,H2O-044-517-718-1F_filt.fastq.gz,H2O-045-518-719-1F_filt.fastq.gz,H2O-046-520-719-1F_filt.fastq.gz,H2O-047-521-719-1F_filt.fastq.gz,H2O-048-522-719-1F_filt.fastq.gz,H2O-049-502-719-1F_filt.fastq.gz,H2O-050-503-719-1F_filt.fastq.gz,H2O-051-505-719-1F_filt.fastq.gz,H2O-052-506-719-1F_filt.fastq.gz,H2O-053-507-719-1F_filt.fastq.gz,H2O-054-508-719-1F_filt.fastq.gz,H2O-055-510-719-1F_filt.fastq.gz,H2O-056-511-720-1F_filt.fastq.gz,H2O-057-513-720-1F_filt.fastq.gz,H2O-058-515-720-1F_filt.fastq.gz,H2O-059-516-720-1F_filt.fastq.gz,H2O-060-517-720-1F_filt.fastq.gz,H2O-061-521-720-1F_filt.fastq.gz,H2O-062-520-720-1F_filt.fastq.gz,NP-001-502-714-1F_filt.fastq.gz,NP-002-503-714-1F_filt.fastq.gz,NP-003-505-714-1F_filt.fastq.gz,NP-004-506-714-1F_filt.fastq.gz,NP-007-510-714-1F_filt.fastq.gz,NP-008-511-714-1F_filt.fastq.gz,NP-009-513-714-1F_filt.fastq.gz,NP-010-515-714-1F_filt.fastq.gz,NP-011-516-715-1F_filt.fastq.gz,NP-014-520-715-1F_filt.fastq.gz,NP-015-521-715-1F_filt.fastq.gz,NP-017-502-715-1F_filt.fastq.gz,NP-018-503-715-1F_filt.fastq.gz,NP-019-505-715-1F_filt.fastq.gz,NP-022-508-715-1F_filt.fastq.gz,NP-025-513-716-1F_filt.fastq.gz,NP-026-515-716-1F_filt.fastq.gz,NP-027-516-716-1F_filt.fastq.gz,NP-028-517-716-1F_filt.fastq.gz,NP-029-518-716-1F_filt.fastq.gz,NP-034-503-718-1F_filt.fastq.gz,NP-035-505-718-1F_filt.fastq.gz,NP-036-506-718-1F_filt.fastq.gz,NP-037-507-718-1F_filt.fastq.gz
H2O-056-511-720-1F_filt.fastq.gz,0.109455753,0.193224869,0.201437198,0.221297254,0.236671169,0.102573526,0.121720454,0.093629513,0.118055744,0.126519273,0.250813328,0.165354626,0.171262198,0.196654696,0.16782515,0,0.041809382,0.065315151,0.138577054,0.091659803,0.090742158,0.103730331,0.818325302,0.645738558,0.791952137,0.723897282,0.845406778,0.722876168,0.635937101,0.64568523,0.590570131,0.641857751,0.582732365,0.638237751,0.628364844,0.699976314,0.69231899,0.651017712,0.635291847,0.651304496,0.826061474,0.712235176,0.5927137,0.653632758,0.733552024,0.900149625
H2O-057-513-720-1F_filt.fastq.gz,0.116423715,0.197746919,0.196705876,0.210317144,0.227344025,0.115450469,0.132629887,0.089264462,0.112135035,0.128709207,0.246257348,0.163801096,0.173604622,0.202066249,0.17037829,0.041809382,0,0.079138776,0.131253157,0.101242392,0.109823894,0.12181248,0.818698429,0.651787772,0.791246337,0.725450284,0.842672774,0.721865713,0.637334635,0.648482982,0.588733421,0.634162712,0.571711173,0.64040583,0.630064112,0.699110087,0.695830416,0.652002065,0.636041452,0.641297377,0.825631731,0.709434884,0.590371831,0.652771733,0.723929453,0.900125845
H2O-058-515-720-1F_filt.fastq.gz,0.12908141,0.169641904,0.16577895,0.176612274,0.206039812,0.135792641,0.161824157,0.113888357,0.145021004,0.134250368,0.247458951,0.184112613,0.184772473,0.202359062,0.177263631,0.065315151,0.079138776,0,0.117101672,0.090062203,0.058315997,0.066395918,0.824982444,0.636126884,0.796558959,0.726212033,0.848844858,0.727539268,0.623982987,0.634402517,0.582295011,0.665262662,0.60320141,0.627910983,0.613925282,0.686220234,0.684310688,0.640707326,0.622557357,0.678528033,0.833146622,0.722082163,0.583232493,0.65480475,0.758878019,0.901089695
H2O-059-516-720-1F_filt.fastq.gz,0.154300992,0.155909624,0.111303717,0.13598554,0.152313503,0.182525502,0.205008885,0.131206613,0.150919324,0.134650132,0.166602214,0.171343433,0.207258595,0.23728976,0.177228352,0.138577054,0.131253157,0.117101672,0,0.124176943,0.129977087,0.14424391,0.823414572,0.645998734,0.793423339,0.731065318,0.843119267,0.725455592,0.615927422,0.630131699,0.580924439,0.673993053,0.605959199,0.619558221,0.609601596,0.669685566,0.687999437,0.632633214,0.610091372,0.68269917,0.835238745,0.725781488,0.579506815,0.652671069,0.761015325,0.901897814
H2O-060-517-720-1F_filt.fastq.gz,0.146806816,0.141824208,0.181919711,0.193622168,0.205600652,0.142515858,0.172629655,0.110059787,0.160139468,0.110457197,0.261039153,0.149235874,0.165157263,0.182095329,0.166121712,0.091659803,0.101242392,0.090062203,0.124176943,0,0.061121591,0.068872261,0.811367977,0.629746827,0.783851715,0.714468883,0.836982361,0.710449039,0.629515827,0.631504814,0.58670989,0.673357263,0.608747388,0.622921699,0.620734087,0.692492969,0.676410844,0.638030944,0.624403624,0.6788312,0.830075796,0.71109098,0.598234976,0.643743807,0.755719593,0.889807173
H2O-061-521-720-1F_filt.fastq.gz,0.127947583,0.164398744,0.175663856,0.189393998,0.214165236,0.138358133,0.164912064,0.127210631,0.170109611,0.145563341,0.264798626,0.185043687,0.190744369,0.185313803,0.175097346,0.090742158,0.109823894,0.058315997,0.129977087,0.061121591,0,0.033308507,0.821912578,0.626800037,0.793090711,0.7211345,0.846838326,0.72109423,0.626173371,0.630656382,0.584113452,0.672327941,0.615132296,0.625245444,0.612608431,0.686816462,0.674986203,0.637272119,0.621472998,0.687442319,0.835068511,0.721819883,0.591800137,0.652526213,0.765771399,0.897833327
H2O-062-520-720-1F_filt.fastq.gz,0.136733038,0.17883776,0.192957989,0.187945863,0.219063212,0.151433275,0.175569396,0.145234137,0.187204986,0.152749966,0.275850347,0.194918168,0.199806671,0.203733651,0.194723969,0.103730331,0.12181248,0.066395918,0.14424391,0.068872261,0.033308507,0,0.820768596,0.62958844,0.792102942,0.720536482,0.844717713,0.719610852,0.628102083,0.631148362,0.58765344,0.676453602,0.617346084,0.623273763,0.614129761,0.687298987,0.676996601,0.637337781,0.623226148,0.68942685,0.834655436,0.719827018,0.5964902,0.650592295,0.767078745,0.894670919
NP-001-502-714-1F_filt.fastq.gz,0.823407566,0.805348771,0.828434232,0.832335892,0.831606883,0.824108702,0.824153152,0.816677682,0.826242733,0.806981194,0.847186495,0.762397632,0.751799069,0.777125289,0.776977921,0.818325302,0.818698429,0.824982444,0.823414572,0.811367977,0.821912578,0.820768596,0,0.731575853,0.695348993,0.753864997,0.782423902,0.660705474,0.71854231,0.62775603,0.661969584,0.696836607,0.665243587,0.662078258,0.850915561,0.894747715,0.687570411,0.638049616,0.697600068,0.743684075,0.722900696,0.400267098,0.692290641,0.62908187,0.702218921,0.328566261
NP-002-503-714-1F_filt.fastq.gz,0.639846112,0.607464181,0.627493389,0.633647993,0.63924824,0.632016058,0.633186034,0.634925974,0.654329223,0.633024228,0.675304733,0.612346359,0.610038961,0.627572592,0.619376392,0.645738558,0.651787772,0.636126884,0.645998734,0.629746827,0.626800037,0.62958844,0.731575853,0,0.715761643,0.63645564,0.765337645,0.641040155,0.60100692,0.566156864,0.589217615,0.705835874,0.652073448,0.589231804,0.668439644,0.711311335,0.530778294,0.551247891,0.605673328,0.715709048,0.777307166,0.64815782,0.638834803,0.609196747,0.716388732,0.909881334
NP-003-505-714-1F_filt.fastq.gz,0.791084597,0.762589791,0.796248872,0.796700911,0.796493728,0.794809117,0.794776372,0.786298277,0.795748273,0.773554493,0.813987196,0.733039537,0.722178958,0.666564032,0.712334741,0.791952137,0.791246337,0.796558959,0.793423339,0.783851715,0.793090711,0.792102942,0.695348993,0.715761643,0,0.228795882,0.474628426,0.293176394,0.7389863,0.625716531,0.688744014,0.73556234,0.696787501,0.694301094,0.825623364,0.86298798,0.616723181,0.680118898,0.732124228,0.716189572,0.264027745,0.44875794,0.733602252,0.462384015,0.428312677,0.918157855
