CW_CF,CW_FF,FW_FF,FW_CF,CW_FW,CF_FF
0.696898669,0.742095437,0.758479478,0.696975641,0.43224025,0.789775212
0.800078593,0.74489868,0.762158404,0.820301655,0.358395512,0.595446817
0.783017751,0.918001048,0.924090192,0.801664387,0.438158313,0.728347734
0.788855518,0.775090272,0.784158149,0.800224261,0.352536267,0.694701676
0.811956459,0.807868589,0.821271469,0.819175378,0.36056276,0.607690995
0.764759743,0.789605477,0.802078335,0.777482195,0.373267732,0.636051978
0.880648934,0.843126352,0.823423954,0.887048825,0.39761487,0.442961616
0.81472552,0.770256173,0.75358083,0.817695703,0.426530321,0.78914121
0.87167038,0.810461618,0.792268081,0.864916569,0.409209589,0.695669848
0.826178598,0.773851287,0.74823124,0.834647554,0.343953628,0.593238834
0.784840634,0.764920563,0.757834988,0.806359518,0.321957767,0.703731888
0.811050571,0.929047925,0.92679674,0.823124098,0.373605647,0.646177726
0.791134796,0.791203281,0.781054669,0.826506945,0.373086514,0.673784364
0.852935462,0.821892907,0.797987752,0.862815135,0.425428115,0.523128522
0.765604346,0.81269598,0.785444733,0.81632466,0.288414789,0.582141048
0.670310076,0.803334351,0.823977808,0.700127675,0.37014743,0.4775537
0.795424108,0.710124579,0.744805372,0.802937551,0.326219016,0.627997028
0.771657284,0.754702881,0.785856989,0.811106091,0.382899792,0.496367161
0.77534217,0.737749421,0.745345929,0.777525448,0.45660841,0.516440806
0.799902187,0.735654588,0.758503508,0.788329489,0.427901291,0.595532731
0.747847677,0.903316733,0.922207335,0.78800708,0.329209932,0.498444563
0.879801461,0.728898944,0.761891614,0.883833628,0.299384103,0.710957227
0.790670321,0.780513014,0.8063557,0.80358512,0.333094879,0.723023822
0.859581939,0.748555205,0.7818069,0.876966281,0.384010859,0.674635917
0.80831455,,,0.820078092,0.411268638,0.515629596
0.774096971,,,0.810898718,0.329364003,0.516437956
0.804910474,,,0.827927016,0.285781865,0.550109148
0.780814748,,,0.815673696,0.304056348,0.499487124
0.849551927,,,0.856021322,0.331690545,0.676161207
0.7663763,,,0.788908326,0.394142241,0.533302419
0.675882928,,,0.740761242,0.397391657,0.574139503
0.81172196,,,0.839104658,0.341637238,0.627359844
0.79482152,,,0.829500201,0.254654454,0.48012316
0.785620946,,,0.810184677,0.329213125,0.550056032
0.798277663,,,0.822657574,0.362000918,0.648179885
0.780216654,,,0.80965435,0.394073435,0.517290645
0.890747202,,,0.897392239,0.310912516,0.637980067
0.82145575,,,0.834281196,0.334406261,0.789382717
0.877763412,,,0.886821156,0.338997305,0.690200094
0.827864832,,,0.858701716,0.367394099,0.510811979
0.79950046,,,0.833974353,0.389017917,0.430176644
0.831509457,,,0.852055,0.379981408,0.520690516
0.81060821,,,0.85225125,0.349584484,0.464283349
0.862374963,,,0.875377729,0.302904043,0.662339906
0.792539131,,,0.833602538,0.379475094,0.53662798
0.704174178,,,0.724312425,0.352494373,0.640385066
0.826214413,,,0.840167527,,0.515244776
0.810773802,,,0.830548682,,0.534822845
0.800275869,,,0.816691612,,0.462531289
0.834183536,,,0.837085718,,0.514568704
0.793938939,,,0.811594166,,0.474839402
0.896673607,,,0.904336865,,0.67832502
0.833128177,,,0.845429031,,0.713023138
0.883483315,,,0.899497969,,0.668452656
0.840975853,,,0.855753804,,0.576870136
0.820466492,,,0.836930751,,0.554321098
0.838620357,,,0.851796643,,0.564321511
0.831193025,,,0.84699682,,0.600559823
0.88042811,,,0.889252998,,0.649444704
0.819340971,,,0.83499494,,0.603161376
0.736440521,,,0.722614144,,
0.851829571,,,0.83429642,,
0.824661211,,,0.818326868,,
0.827594867,,,0.799572006,,
0.851035312,,,0.834898375,,
0.825547498,,,0.80419288,,
0.911326429,,,0.903529036,,
0.868168121,,,0.841162095,,
0.906107873,,,0.892414302,,
0.853596095,,,0.851519809,,
0.831109742,,,0.828933208,,
0.863355954,,,0.846023985,,
0.845518499,,,0.839028914,,
0.894091991,,,0.882917335,,
0.836177331,,,0.830216177,,
0.708779708,,,0.720678501,,
0.80058237,,,0.83521395,,
0.790655321,,,0.82708523,,
0.741458768,,,0.794902096,,
0.806411325,,,0.821386672,,
0.777822551,,,0.810306021,,
0.88848197,,,0.901197724,,
0.800511463,,,0.831896153,,
0.876056423,,,0.881496826,,
0.828819664,,,0.849673702,,
0.808892548,,,0.830343838,,
0.829902095,,,0.847749445,,
0.828386286,,,0.839388389,,
0.858564948,,,0.885173876,,
0.813251638,,,0.82661522,,
